Positions,Âge,Valeur marchande,Valeur marchande moyenne,Years,Crew
Gardien,"24,75","5,35 mio. €","1,34 mio. €",2014,mhsc
Défense,"25,33","10,30 mio. €","1,14 mio. €",2014,mhsc
Attaquant,"25,00","15,15 mio. €","1,38 mio. €",2014,mhsc
Total:,"24,19","51,95 mio. €","1,44 mio. €",2014,mhsc
Gardien,"25,75","4,05 mio. €","1,01 mio. €",2015,mhsc
Défense,"25,00","9,45 mio. €","1,18 mio. €",2015,mhsc
Attaquant,"25,00","12,85 mio. €","1,29 mio. €",2015,mhsc
Total:,"24,88","44,40 mio. €","1,39 mio. €",2015,mhsc
Gardien,"26,75","3,10 mio. €",775 K €,2016,mhsc
Défense,"24,31","13,35 mio. €","1,03 mio. €",2016,mhsc
Attaquant,"23,00","13,70 mio. €","1,71 mio. €",2016,mhsc
Total:,"24,57","60,95 mio. €","1,74 mio. €",2016,mhsc
Gardien,"26,67","6,65 mio. €","2,22 mio. €",2017,mhsc
Défense,"24,08","38,50 mio. €","3,21 mio. €",2017,mhsc
Attaquant,"24,00","11,85 mio. €","1,32 mio. €",2017,mhsc
Total:,"24,43","71,85 mio. €","2,40 mio. €",2017,mhsc
Gardien,"24,67","17,80 mio. €","5,93 mio. €",2018,mhsc
Défense,"25,40","29,50 mio. €","2,95 mio. €",2018,mhsc
Attaquant,"24,70","32,95 mio. €","3,30 mio. €",2018,mhsc
Total:,"24,69","109,85 mio. €","3,43 mio. €",2018,mhsc
Gardien,"22,67","9,05 mio. €","3,02 mio. €",2019,mhsc
Défense,"26,89","19,95 mio. €","2,22 mio. €",2019,mhsc
Attaquant,"26,13","22,00 mio. €","2,75 mio. €",2019,mhsc
Total:,"25,23","81,68 mio. €","2,72 mio. €",2019,mhsc
Gardien,"23,00","9,20 mio. €","3,07 mio. €",2020,mhsc
Défense,"26,18","23,30 mio. €","2,12 mio. €",2020,mhsc
Attaquant,"23,00","47,35 mio. €","4,30 mio. €",2020,mhsc
Total:,"24,24","113,85 mio. €","3,35 mio. €",2020,mhsc
